case_folder,mode,n,speedup_mean,speedup_median,speedup_mean_ci_lo,speedup_mean_ci_hi,speedup_median_ci_lo,speedup_median_ci_hi,runtime_median_sec,opt_rate,infeasible_rate,mean_case_speedup
matpower/case300,WARM+PRUNE-0.20,59,11.450339478187951,10.093758041603913,9.89720633831949,13.054301069784675,8.394571179487416,12.329443682996299,23.65400004386902,1.0,0.0,8.6847194416605
matpower/case300,WARM+PRUNE-0.20+GNN,59,11.40001826122745,10.03530663117016,9.847788683523168,12.982504679352749,8.386601003183099,12.168795645902534,23.019999980926517,1.0,0.0,8.632062355602704
matpower/case300,WARM+PRUNE-0.30,59,6.914553878088603,6.162419793949814,6.109622805632907,7.692132576996117,5.376592260201027,8.14519031545128,33.19099998474121,1.0,0.0,6.956630728496769
matpower/case300,WARM+PRUNE-0.30+GNN,59,6.870367596100427,6.172872882136335,6.074765466610126,7.65601185083172,5.4111518433641335,7.658478521004477,33.27800011634827,1.0,0.0,6.904809727241395
matpower/case300,WARM+PRUNE-0.50,59,3.5022181599396545,3.2373941678605096,3.151123849040214,3.871058529297054,2.9670818326897037,3.6146857426786996,62.66899991035461,1.0,0.0,3.5615481906559183
matpower/case300,WARM+PRUNE-0.50+GNN,59,3.5504235059030282,3.282411762325364,3.1950369707874904,3.921956481072422,2.9890043706111795,3.6594204893592024,62.03099989891052,1.0,0.0,3.607078431629981
matpower/case300,WARM+PRUNE-0.80,59,1.6137616070828507,1.5086710489397617,1.492279365041337,1.7534524338751913,1.3985126238965555,1.605059651846124,122.82400012016296,0.9322033898305084,0.0,2.3904772822014064
matpower/case300,WARM+PRUNE-0.80+GNN,59,1.6013203230790647,1.521317175192341,1.4843554546336228,1.7380911634130949,1.3915701008755565,1.5699310118659568,124.93499994277954,0.9152542372881356,0.0,2.4167821699232523
matpower/case57,RAW,60,1.0,1.0,1.0,1.0,1.0,1.0,0.6325000524520874,0.7666666666666667,0.23333333333333334,
matpower/case57,RAW+COMMIT,60,1.0598413511840368,1.0260782317226973,1.0355237716520422,1.0858807026582946,1.020133421262485,1.0543226997980164,0.5850000381469727,0.7666666666666667,0.23333333333333334,1.044893077879277
matpower/case57,RAW+GNN,60,1.0319833663819724,1.0037352037360316,1.0123590439630057,1.0542069748593494,0.9913492840018677,1.0272372385744606,0.6000000238418579,0.7666666666666667,0.23333333333333334,1.078062500351707
matpower/case57,WARM,60,1.147932909839832,1.1375759094153373,1.1109870204058891,1.186210930529518,1.1055901747859787,1.1759305294502869,0.5015000104904175,0.7666666666666667,0.23333333333333334,1.1390003305091103
matpower/case57,WARM+HINTS,60,1.1603874117053858,1.1467200577571681,1.1202710569582992,1.2051610768650318,1.1080761287356546,1.192445818734126,0.5049999952316284,0.7666666666666667,0.23333333333333334,1.1340541002024251
matpower/case57,WARM+HINTS+COMMIT,60,1.1882499977389203,1.161298594156896,1.1521825148017357,1.225329488091382,1.1257647810015192,1.228510399645978,0.49100005626678467,0.7666666666666667,0.23333333333333334,1.14011951617411
matpower/case57,WARM+HINTS+COMMIT+GRU,60,1.0434266237653245,1.0134348136588485,1.0134462733687548,1.0738615362325798,0.976827493705918,1.0778624153659506,0.590499997138977,0.7666666666666667,0.23333333333333334,1.0278050684516817
matpower/case57,WARM+HINTS+GRU,60,1.0224797801178651,0.9930983251491361,0.9942686724912587,1.055664871959284,0.9647891757934556,1.0116108828236516,0.6049998998641968,0.7666666666666667,0.23333333333333334,1.0252790897637947
matpower/case57,WARM+LAZY,60,8.892680657208711,6.786461295457878,7.506797346210921,10.39120339161573,6.412506258493677,7.38158278617298,0.0934998989105224,0.7666666666666667,0.23333333333333334,8.590397830137299
matpower/case57,WARM+LAZY+BANDIT,60,8.856953803966466,6.867360376658752,7.532981335950982,10.294642654244932,6.415837120094424,7.318177507931478,0.09399998188018795,0.7666666666666667,0.23333333333333334,8.614709779776403
matpower/case57,WARM+LAZY+COMMIT,60,8.881202079063424,6.9193365575435415,7.58201409772447,10.27272151859979,6.561413782285895,7.2786622752109125,0.0950000286102294,0.7666666666666667,0.23333333333333334,8.59362496036137
matpower/case57,WARM+LAZY+GRU,60,7.342738303066972,5.411596889536929,6.233646277752201,8.538744257655745,5.0263117718043056,5.7826078843981,0.1180000305175781,0.7666666666666667,0.23333333333333334,8.213334612109252
matpower/case57,WARM+PRUNE-0.10,60,8.340578069540044,6.44684533572212,7.048589331365588,9.732523810829308,5.947825726399158,6.825314658892984,0.10250008106231684,0.7666666666666667,0.23333333333333334,9.643985517197217
matpower/case57,WARM+PRUNE-0.10+GNN,60,8.182332570181334,6.320321782865118,7.035151702470757,9.484566929953504,5.869596140340011,6.723806885527315,0.10349988937377926,0.7666666666666667,0.23333333333333334,9.584479983821792
matpower/case57,WARM+PRUNE-0.20,60,8.32156786468543,6.325683555819538,7.095457254980101,9.682389468639489,5.7217385895987345,6.969385123661333,0.1024999618530273,0.7666666666666667,0.23333333333333334,8.6847194416605
matpower/case57,WARM+PRUNE-0.20+GNN,60,8.3605749237798,6.565491226492902,7.1293418448079855,9.660522354343131,5.907223108441257,6.979168167131504,0.10049998760223386,0.7666666666666667,0.23333333333333334,8.632062355602704
matpower/case57,WARM+PRUNE-0.30,60,8.50122480790077,6.248991732730994,7.190429448457919,9.940069349278925,5.744001388549805,6.9261736131818195,0.1045000553131103,0.7666666666666667,0.23333333333333334,6.956630728496769
matpower/case57,WARM+PRUNE-0.30+GNN,60,8.298084247868333,6.3846089480248,7.019711156704354,9.672527212260261,6.063073628500304,6.689565470718468,0.1035000085830688,0.7666666666666667,0.23333333333333334,6.904809727241395
